Water Control Zone,River,Dates,Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Water Temperature (°C)
Deep Bay,River Beas,10/17/1986,13,1,6.4,90,24.9
Deep Bay,River Beas,11/13/1986,6,0.5,6.7,57,25.2
Deep Bay,River Beas,12/2/1986,17,1.6,7.7,80,20.5
Deep Bay,River Beas,1/13/1986,33,3,6.9,175,18.1
Deep Bay,River Beas,2/20/1986,30,2.9,6.8,210,16.2
Deep Bay,River Beas,3/3/1986,23,2.5,7.2,440,13.1
Deep Bay,River Beas,4/17/1986,35,3,6.9,125,23.6
Deep Bay,River Beas,5/15/1986,41,3.8,6.3,26,25.8
Deep Bay,River Beas,6/20/1986,35,2.8,6.6,51,28.1
Deep Bay,River Beas,7/18/1986,29,2.2,6.6,25,27.8
Deep Bay,River Beas,8/22/1986,35,2.7,6.7,28,28.4
Deep Bay,River Beas,9/17/1986,33,2.6,6.3,53.5,26.7
Deep Bay,River Beas,10/17/1986,36,2.9,6.5,120,26.6
Deep Bay,River Beas,11/13/1986,30,2.5,6.7,47,23.1
Deep Bay,River Beas,12/2/1986,34,3.1,7.8,95,20.2
Deep Bay,River Beas,1/13/1986,9,0.8,6.8,190,18.2
Deep Bay,River Beas,2/20/1986,7,0.7,7,230,15.5
Deep Bay,River Beas,3/3/1986,9,1,7.2,260,13.5
Deep Bay,River Beas,4/17/1986,8,0.7,7.1,105,21.9
Deep Bay,River Beas,5/15/1986,20,1.6,6.1,27,26.2
Deep Bay,River Beas,6/20/1986,5,0.4,6.5,57,29
Deep Bay,River Beas,7/18/1986,8,0.6,6.7,28,27.5
Deep Bay,River Beas,8/22/1986,6,0.5,6.7,32,28.2
Deep Bay,River Beas,9/17/1986,10,0.8,6.8,47,27.8
Deep Bay,River Beas,10/17/1986,9,0.7,6.4,72,25.7
Deep Bay,River Beas,11/13/1986,4,0.3,6.8,38,23.3
Deep Bay,River Beas,12/2/1986,8,0.7,8.3,90,19.6
North Western,Tuen Mun River,1/21/1986,6,0.6,7.4,520,22
North Western,Tuen Mun River,2/6/1986,24,2.5,7.8,520,14.3
North Western,Tuen Mun River,3/20/1986,2,0.2,7.6,740,23.6
North Western,Tuen Mun River,4/14/1986,3,0.3,7.9,1880,25.5
North Western,Tuen Mun River,5/12/1986,53,4.4,7.1,26,25
North Western,Tuen Mun River,6/6/1986,64,5.3,6.6,325,25.3
North Western,Tuen Mun River,7/4/1986,49,3.9,7.2,100,27
North Western,Tuen Mun River,8/13/1986,57,4.4,6.5,20,28.5
North Western,Tuen Mun River,9/11/1986,6,0.4,7.7,180,30.4
North Western,Tuen Mun River,10/7/1986,7,0.6,7.4,290,28.6
North Western,Tuen Mun River,11/11/1986,15,1.3,7.5,1200,22.7
North Western,Tuen Mun River,12/12/1986,6,0.6,7.7,270,20.1
North Western,Tuen Mun River,1/21/1986,29,2.4,7.4,200,24.8
North Western,Tuen Mun River,2/6/1986,40,4,7.5,270,14.8
North Western,Tuen Mun River,3/20/1986,4,0.3,7.2,500,25
North Western,Tuen Mun River,4/14/1986,8,0.6,7.1,640,28.2
North Western,Tuen Mun River,5/12/1986,102,8.5,6.6,10,24.9
North Western,Tuen Mun River,6/6/1986,85,6.9,6.6,135,25.4
North Western,Tuen Mun River,7/4/1986,86,6.9,6.8,36,26.7
North Western,Tuen Mun River,8/13/1986,5,0.4,7.7,92,30.1
North Western,Tuen Mun River,9/11/1986,8,0.6,6.9,40,30.5
North Western,Tuen Mun River,10/7/1986,3,0.2,6.9,80,28.9
North Western,Tuen Mun River,11/11/1986,18,1.6,6.9,39,20.8
North Western,Tuen Mun River,12/12/1986,9,0.8,6.9,40,21
North Western,Tuen Mun River,1/21/1986,15,1.3,8.6,17,22.2
North Western,Tuen Mun River,2/6/1986,14,1.4,8,15,14.7
North Western,Tuen Mun River,3/20/1986,5,0.5,8.5,18,22
North Western,Tuen Mun River,4/14/1986,10,0.8,7.4,8,23.4
North Western,Tuen Mun River,5/12/1986,60,4.7,7,25,24.2
North Western,Tuen Mun River,6/6/1986,75,6.2,7,670,25.1
North Western,Tuen Mun River,7/4/1986,53,4.2,7.3,120,26.1
North Western,Tuen Mun River,8/13/1986,15,1.1,6.9,24,29.4
North Western,Tuen Mun River,9/11/1986,6,0.4,7.2,60,31.5
North Western,Tuen Mun River,10/7/1986,7,0.5,7.3,21,27.4
North Western,Tuen Mun River,11/11/1986,15,1.2,7.6,48,24.3
North Western,Tuen Mun River,12/12/1986,83,7.7,8.6,2.2,19.9
North Western,Tuen Mun River,1/21/1986,8,0.7,8.5,17,24.7
North Western,Tuen Mun River,2/6/1986,14,1.3,7.9,47,15.7
North Western,Tuen Mun River,3/20/1986,8,0.7,8.4,11,21.1
North Western,Tuen Mun River,4/14/1986,4,0.3,7.2,20,25
North Western,Tuen Mun River,5/12/1986,61,5,6.8,42,24.4
North Western,Tuen Mun River,6/6/1986,82,6.7,6.4,290,25.3
North Western,Tuen Mun River,7/4/1986,51,4.1,7,80,26.3
North Western,Tuen Mun River,8/13/1986,28,2.1,7,57,30.3
North Western,Tuen Mun River,9/11/1986,40,2.9,7.3,20,31.5
North Western,Tuen Mun River,10/7/1986,5,0.5,7.4,43,28.7
North Western,Tuen Mun River,11/11/1986,22,1.9,7.7,63,21.7
North Western,Tuen Mun River,12/12/1986,88,7.9,8.8,0.5,20.2
North Western,Tuen Mun River,1/21/1986,9,0.7,8.4,27,24
North Western,Tuen Mun River,2/6/1986,13,1.3,8,23,15
North Western,Tuen Mun River,3/20/1986,6,0.6,8.3,11,21.2
North Western,Tuen Mun River,4/14/1986,10,0.8,8,9.6,24.2
North Western,Tuen Mun River,5/12/1986,67,5.5,7,20,24.4
North Western,Tuen Mun River,6/6/1986,74,6.1,7,315,25.3
North Western,Tuen Mun River,7/4/1986,47,3.8,7,80,26.2
North Western,Tuen Mun River,8/13/1986,14,0.9,7.1,47,30
North Western,Tuen Mun River,9/11/1986,17,1.2,7.3,80,30.4
North Western,Tuen Mun River,10/7/1986,3,0.2,7.3,55,28.6
North Western,Tuen Mun River,11/11/1986,9,0.8,7.5,84,23.3
North Western,Tuen Mun River,12/12/1986,90,8,9.2,2,20.2
North Western,Tuen Mun River,1/21/1986,11,0.9,7.9,12,19.1
North Western,Tuen Mun River,2/6/1986,27,2.5,8.1,8,15.7
North Western,Tuen Mun River,3/20/1986,11,0.9,7.7,7,19.2
North Western,Tuen Mun River,4/14/1986,10,0.8,7.8,7.5,23
North Western,Tuen Mun River,5/12/1986,69,5.4,7,32,24.4
North Western,Tuen Mun River,6/6/1986,67,5.5,6.9,400,25.3
North Western,Tuen Mun River,7/4/1986,49,3.9,7.1,90,27
North Western,Tuen Mun River,8/13/1986,12,0.8,7.4,15,28.9
North Western,Tuen Mun River,9/11/1986,6,0.5,7.4,50,32
North Western,Tuen Mun River,10/7/1986,19,1.5,7.4,10,27.2
North Western,Tuen Mun River,11/11/1986,8,0.6,7.4,32,24.5
North Western,Tuen Mun River,12/12/1986,48,4.4,8.7,4.2,19.7
Tolo Harbour And Channel,Lam Tsuen River,2/5/1986,89,8.9,7.5,16,15.2
Tolo Harbour And Channel,Lam Tsuen River,2/26/1986,90,8.7,7.4,50,16.4
Tolo Harbour And Channel,Lam Tsuen River,3/27/1986,85,7.7,7.5,67,19.6
Tolo Harbour And Channel,Lam Tsuen River,4/28/1986,108,8.4,7.5,31,27.6
Tolo Harbour And Channel,Lam Tsuen River,5/21/1986,86,7.2,6.7,140,25.6
Tolo Harbour And Channel,Lam Tsuen River,6/23/1986,109,8.2,8.1,20,30.1
Tolo Harbour And Channel,Lam Tsuen River,7/30/1986,98,7.1,8.6,16,32.2
Tolo Harbour And Channel,Lam Tsuen River,8/28/1986,115,8.3,8.1,40,32.8
Tolo Harbour And Channel,Lam Tsuen River,9/22/1986,101,7.8,7.6,71,28.4
Tolo Harbour And Channel,Lam Tsuen River,10/31/1986,80,6.6,7,97,24.6
Tolo Harbour And Channel,Lam Tsuen River,11/25/1986,117,10.4,7.1,15,20.8
Tolo Harbour And Channel,Lam Tsuen River,12/22/1986,84,8.2,7.3,17,16.4
Tolo Harbour And Channel,Lam Tsuen River,2/5/1986,56,5.7,7.1,11,15.1
Tolo Harbour And Channel,Lam Tsuen River,2/26/1986,61,5.8,7,35,16.8
Tolo Harbour And Channel,Lam Tsuen River,3/27/1986,58,5.3,7.4,15,19.6
Tolo Harbour And Channel,Lam Tsuen River,4/28/1986,133,9.8,8.7,11,31
Tolo Harbour And Channel,Lam Tsuen River,5/21/1986,112,9.5,6.4,3.5,24.5
Tolo Harbour And Channel,Lam Tsuen River,6/23/1986,103,8.1,7.3,6.7,27.7
Tolo Harbour And Channel,Lam Tsuen River,7/30/1986,110,8.6,7.7,18,28.2
Tolo Harbour And Channel,Lam Tsuen River,8/28/1986,113,8.3,7.7,8,30.9
Tolo Harbour And Channel,Lam Tsuen River,9/22/1986,107,8.6,7.3,21,26.2
Tolo Harbour And Channel,Lam Tsuen River,10/31/1986,97,8.2,7.5,4.6,23.3
Tolo Harbour And Channel,Lam Tsuen River,11/25/1986,150,9.3,7.3,4.7,21
Tolo Harbour And Channel,Lam Tsuen River,12/22/1986,89,8.5,7.5,10,17.4
Tolo Harbour And Channel,Lam Tsuen River,2/5/1986,52,5.1,7.2,46,15.6
Tolo Harbour And Channel,Lam Tsuen River,2/26/1986,67,6.5,7.1,14,16.7
Tolo Harbour And Channel,Lam Tsuen River,3/27/1986,61,5.7,8.7,64,18.5
Tolo Harbour And Channel,Lam Tsuen River,4/28/1986,82,6.6,7.3,25,26.6
Tolo Harbour And Channel,Lam Tsuen River,5/21/1986,98,8.2,6.3,9.5,25.2
Tolo Harbour And Channel,Lam Tsuen River,6/23/1986,96,7.4,7.2,9.5,28.2
Tolo Harbour And Channel,Lam Tsuen River,7/30/1986,54,4.2,7,20,28.7
Tolo Harbour And Channel,Lam Tsuen River,8/28/1986,66,5,6.9,190,29.8
Tolo Harbour And Channel,Lam Tsuen River,9/22/1986,86,6.8,6.8,560,27.3
Tolo Harbour And Channel,Lam Tsuen River,10/31/1986,71,6.1,7.5,8.3,22.6
Tolo Harbour And Channel,Lam Tsuen River,11/25/1986,68,6.1,6.8,5,20.6
Tolo Harbour And Channel,Lam Tsuen River,12/22/1986,72,7.3,7.2,10,15
Tolo Harbour And Channel,Lam Tsuen River,2/5/1986,86,8.5,7,3,15.7
Tolo Harbour And Channel,Lam Tsuen River,2/26/1986,81,7.7,7,4,17
Tolo Harbour And Channel,Lam Tsuen River,3/27/1986,82,7.6,7.5,2,18.6
Tolo Harbour And Channel,Lam Tsuen River,4/28/1986,77,6.1,6.4,4,27.2
Tolo Harbour And Channel,Lam Tsuen River,5/21/1986,106,9.1,6.3,4.7,23.4
Tolo Harbour And Channel,Lam Tsuen River,6/23/1986,92,7.2,6.6,1.3,27.4
Tolo Harbour And Channel,Lam Tsuen River,7/30/1986,97,7.6,6.8,2,26.8
Tolo Harbour And Channel,Lam Tsuen River,8/29/1986,91,6.4,6.4,1.3,26.7
Tolo Harbour And Channel,Lam Tsuen River,9/22/1986,98,8.1,6.6,1.2,25.2
Tolo Harbour And Channel,Lam Tsuen River,10/31/1986,85,7.4,6.7,1,22.6
Tolo Harbour And Channel,Lam Tsuen River,11/25/1986,98,8.9,6.8,1,20
Tolo Harbour And Channel,Lam Tsuen River,12/22/1986,95,9.3,6.9,1,16.4
Tolo Harbour And Channel,Lam Tsuen River,1/15/1986,,,,,null
Tolo Harbour And Channel,Lam Tsuen River,2/26/1986,83,7.8,6.8,5,18.1
Tolo Harbour And Channel,Lam Tsuen River,3/27/1986,78,7,7.2,5,20.4
Tolo Harbour And Channel,Lam Tsuen River,4/28/1986,71,5.8,6.3,10,25.4
Tolo Harbour And Channel,Lam Tsuen River,5/21/1986,98,8.7,6.2,8.5,24.1
Tolo Harbour And Channel,Lam Tsuen River,6/23/1986,108,8.5,6.5,4,26.9
Tolo Harbour And Channel,Lam Tsuen River,7/30/1986,93,7.4,6.6,11,26.6
Tolo Harbour And Channel,Lam Tsuen River,8/29/1986,81,5.7,6.6,4.5,26.4
Tolo Harbour And Channel,Lam Tsuen River,9/22/1986,92,7.7,6.4,5.7,24.4
Tolo Harbour And Channel,Lam Tsuen River,10/31/1986,73,6.3,6.3,5.7,22.7
Tolo Harbour And Channel,Lam Tsuen River,11/25/1986,87,7.8,6.7,2.5,20.6
Tolo Harbour And Channel,Lam Tsuen River,12/22/1986,80,7.4,6.7,6.5,19.1
Tolo Harbour And Channel,Lam Tsuen River,6/23/1986,87,6.5,6.9,5.5,30.1
Tolo Harbour And Channel,Lam Tsuen River,7/30/1986,88,6.8,7,9,28.6
Tolo Harbour And Channel,Lam Tsuen River,8/28/1986,93,7,7,9,30.1
Tolo Harbour And Channel,Lam Tsuen River,9/22/1986,87,7.1,6.7,7,25.7
Tolo Harbour And Channel,Lam Tsuen River,10/31/1986,68,5.9,6.7,4.2,21.8
Tolo Harbour And Channel,Lam Tsuen River,11/25/1986,73,6.6,6.7,2.7,20.3
Tolo Harbour And Channel,Lam Tsuen River,12/22/1986,85,8.5,6.9,3,15.6
Tolo Harbour And Channel,Lam Tsuen River,6/23/1986,97,7.5,6.8,4.5,28.6
Tolo Harbour And Channel,Lam Tsuen River,7/30/1986,79,6.2,7.1,11,27.5
Tolo Harbour And Channel,Lam Tsuen River,8/28/1986,94,7.4,7,6,27.7
Tolo Harbour And Channel,Lam Tsuen River,9/22/1986,97,8.1,6.5,4.4,25
Tolo Harbour And Channel,Lam Tsuen River,10/31/1986,87,7.7,7.2,1.7,21.2
Tolo Harbour And Channel,Lam Tsuen River,11/25/1986,96,8.8,7.1,1,19.9
Tolo Harbour And Channel,Lam Tsuen River,12/22/1986,93,9.3,7,5,15.4
Tolo Harbour And Channel,Tai Po River,2/5/1986,67,6.8,7.4,8.2,15
Tolo Harbour And Channel,Tai Po River,2/26/1986,69,6.8,6.8,5,15.9
Tolo Harbour And Channel,Tai Po River,3/27/1986,54,5.1,7,8,18.4
Tolo Harbour And Channel,Tai Po River,4/28/1986,84,6.8,6.8,6,25.3
Tolo Harbour And Channel,Tai Po River,5/21/1986,92,8.8,6.3,9.4,24.8
Tolo Harbour And Channel,Tai Po River,6/23/1986,91,7.2,7.2,3,27.1
Tolo Harbour And Channel,Tai Po River,7/30/1986,101,8.1,7.1,3,26.2
Tolo Harbour And Channel,Tai Po River,8/28/1986,108,8.3,7.2,6,28.7
Tolo Harbour And Channel,Tai Po River,9/22/1986,91,7.6,6.4,3.2,24.3
Tolo Harbour And Channel,Tai Po River,10/31/1986,78,7,6.5,2.6,20.1
Tolo Harbour And Channel,Tai Po River,11/25/1986,82,7.5,6.6,1.3,19.4
Tolo Harbour And Channel,Tai Po River,12/19/1986,75,7.5,6.8,1.6,15.3
Tolo Harbour And Channel,Tai Po Kau Stream,1/15/1986,,,,,null
Tolo Harbour And Channel,Tai Po Kau Stream,2/26/1986,29,2.9,,100,15.4
Tolo Harbour And Channel,Tai Po Kau Stream,3/27/1986,12,1.7,6.5,46,18.5
Tolo Harbour And Channel,Tai Po Kau Stream,4/28/1986,16,1.3,6.6,22,25.2
Tolo Harbour And Channel,Tai Po Kau Stream,5/21/1986,87,7.8,6.1,20,23.8
Tolo Harbour And Channel,Tai Po Kau Stream,6/23/1986,32,2.5,6.6,44,27.6
Tolo Harbour And Channel,Tai Po Kau Stream,7/30/1986,40,3.2,6.6,10,25.9
Tolo Harbour And Channel,Tai Po Kau Stream,8/28/1986,25,2,6.9,35,27.5
Tolo Harbour And Channel,Tai Po Kau Stream,9/22/1986,47,4,9.4,9,23.4
Tolo Harbour And Channel,Tai Po Kau Stream,10/31/1986,31,2.8,7.2,52,19.1
Tolo Harbour And Channel,Tai Po Kau Stream,11/25/1986,26,2.4,6.3,3.2,18.9
Tolo Harbour And Channel,Tai Po Kau Stream,12/19/1986,37,3.7,6.8,13,15.8
Tolo Harbour And Channel,Shing Mun River,1/29/1986,100,8.8,8.6,140,20.8
Tolo Harbour And Channel,Shing Mun River,2/25/1986,97,9.3,8.1,35,17.1
Tolo Harbour And Channel,Shing Mun River,3/25/1986,99,9.5,9.1,33,16.6
Tolo Harbour And Channel,Shing Mun River,4/21/1986,103,9,7.1,93,21.8
Tolo Harbour And Channel,Shing Mun River,5/29/1986,104,7.8,10.1,32,29.6
Tolo Harbour And Channel,Shing Mun River,6/26/1986,98,8,8.6,10,25.5
Tolo Harbour And Channel,Shing Mun River,7/31/1986,86,8.4,8.8,21,30.8
Tolo Harbour And Channel,Shing Mun River,8/27/1986,118,8.6,8.8,27,31.9
Tolo Harbour And Channel,Shing Mun River,9/24/1986,121,9,9.8,57.5,30.4
Tolo Harbour And Channel,Shing Mun River,10/28/1986,94,7.7,8.4,65,25.2
Tolo Harbour And Channel,Shing Mun River,11/24/1986,92,7.5,7.4,130,25.5
Tolo Harbour And Channel,Shing Mun River,12/23/1986,79,6.9,6.6,120,21.9
Tolo Harbour And Channel,Shing Mun River,1/29/1986,10,1,6.7,91,19.8
Tolo Harbour And Channel,Shing Mun River,2/25/1986,23,2.3,6.7,64,17.2
Tolo Harbour And Channel,Shing Mun River,3/25/1986,20,1.7,6.9,72,16.5
Tolo Harbour And Channel,Shing Mun River,4/21/1986,94,8.2,6.6,122,21.8
Tolo Harbour And Channel,Shing Mun River,5/29/1986,54,3.7,6.8,19,29.8
Tolo Harbour And Channel,Shing Mun River,6/26/1986,58,4.3,6.5,23,26.9
Tolo Harbour And Channel,Shing Mun River,7/31/1986,10,0.7,6.8,47.5,32.1
Tolo Harbour And Channel,Shing Mun River,8/27/1986,21,1.4,6.2,17,32.3
Tolo Harbour And Channel,Shing Mun River,9/24/1986,167,1.2,6.5,75,30.8
Tolo Harbour And Channel,Shing Mun River,10/28/1986,7,0.5,5.9,120,26.7
Tolo Harbour And Channel,Shing Mun River,11/24/1986,6,0.5,6.5,23,24.4
Tolo Harbour And Channel,Shing Mun River,12/23/1986,17,1.5,6.6,47,20.1
Tolo Harbour And Channel,Tai Wai Nullah,1/29/1986,30,2.8,7.3,70,19.4
Tolo Harbour And Channel,Tai Wai Nullah,2/25/1986,53,5.2,7.9,35,16.4
Tolo Harbour And Channel,Tai Wai Nullah,3/25/1986,90,8.4,,21,17.9
Tolo Harbour And Channel,Tai Wai Nullah,4/21/1986,100,8.7,6.6,244,21.8
Tolo Harbour And Channel,Tai Wai Nullah,5/29/1986,88,6.9,6.8,12,28.5
Tolo Harbour And Channel,Tai Wai Nullah,6/26/1986,97,7.8,7.3,42,26.3
Tolo Harbour And Channel,Tai Wai Nullah,7/31/1986,84,6.5,7.1,8,28.5
Tolo Harbour And Channel,Tai Wai Nullah,8/27/1986,76,5.8,7.1,5.7,28.9
Tolo Harbour And Channel,Tai Wai Nullah,9/23/1986,75,5.9,7.2,7.1,27.4
Tolo Harbour And Channel,Tai Wai Nullah,10/28/1986,64,5.2,6.7,29,25.5
Tolo Harbour And Channel,Tai Wai Nullah,11/24/1986,57,4.9,7.5,13,23.1
Tolo Harbour And Channel,Tai Wai Nullah,12/23/1986,40,3.6,7,15,20.9
Tolo Harbour And Channel,Tai Wai Nullah,1/29/1986,78,7.4,7.5,18,18
Tolo Harbour And Channel,Tai Wai Nullah,2/25/1986,108,9.8,8.2,30,19.6
Tolo Harbour And Channel,Tai Wai Nullah,3/25/1986,82,7.9,7.8,20,16.8
Tolo Harbour And Channel,Tai Wai Nullah,4/21/1986,100,8.7,6.5,304,21.8
Tolo Harbour And Channel,Tai Wai Nullah,5/29/1986,88,7.1,7.5,11,27.8
Tolo Harbour And Channel,Tai Wai Nullah,6/26/1986,92,7.4,7.1,93,26.2
Tolo Harbour And Channel,Tai Wai Nullah,7/31/1986,52,3.9,7.2,11.5,29.8
Tolo Harbour And Channel,Tai Wai Nullah,8/27/1986,103,7.9,7.4,2.5,29
Tolo Harbour And Channel,Tai Wai Nullah,9/23/1986,72,5.5,7.5,12,29.3
